0,1,2,3,4,5,6,LABEL
82129,8212,821,820-82999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
73094,7309,730,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
71283,7128,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
1820,182,179-18999,140-23999,001-99999,,,DISEASES AND INJURIES
0066,006,001-00999,001-13999,001-99999,,,DISEASES AND INJURIES
73096,7309,730,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
75501,7550,755,740-75999,001-99999,,,DISEASES AND INJURIES
9175,917,91,87-9999,00-9999,,,PROCEDURES
66960,6696,669,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
5692,569,56,55-5999,00-9999,,,PROCEDURES
81241,8124,812,810-81999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
01566,0156,015,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
37556,3755,375,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
2130,213,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
V031,V03,V01-V0699,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8918,891,89,87-9999,00-9999,,,PROCEDURES
7645,764,76,76-8499,00-9999,,,PROCEDURES
01776,0177,017,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
E9510,E951,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
25013,2501,250,249-25999,240-27999,001-99999,,DISEASES AND INJURIES
V716,V71,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
61179,6117,611,610-61299,580-62999,001-99999,,DISEASES AND INJURIES
9930,993,990-99599,800-99999,001-99999,,,DISEASES AND INJURIES
71137,7113,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
60783,6078,607,600-60899,580-62999,001-99999,,DISEASES AND INJURIES
71135,7113,711,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
60781,6078,607,600-60899,580-62999,001-99999,,DISEASES AND INJURIES
3507,350,35,35-3999,00-9999,,,PROCEDURES
80111,8011,801,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
65494,6549,654,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
0638,063,060-06699,001-13999,001-99999,,,DISEASES AND INJURIES
V1362,V136,V13,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
79410,7941,794,790-79699,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
04109,0410,041,030-04199,001-13999,001-99999,,DISEASES AND INJURIES
52571,5257,525,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
36308,3630,363,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
77430,7743,774,764-77999,760-77999,001-99999,,DISEASES AND INJURIES
V1364,V136,V13,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
3399,339,33,30-3499,00-9999,,,PROCEDURES
7216,721,720-72499,710-73999,001-99999,,,DISEASES AND INJURIES
E9570,E957,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
042,042-04299,001-13999,001-99999,,,,DISEASES AND INJURIES
64730,6473,647,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
9823,982,98,87-9999,00-9999,,,PROCEDURES
80633,8063,806,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E8888,E888,E880-E8889,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3929,392,390-39299,390-45999,001-99999,,,DISEASES AND INJURIES
01596,0159,015,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
3159,315,300-31699,290-31999,001-99999,,,DISEASES AND INJURIES
9743,974,97,87-9999,00-9999,,,PROCEDURES
9799,979,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
4412,441,44,42-5499,00-9999,,,PROCEDURES
7813,781,78,76-8499,00-9999,,,PROCEDURES
1710,171,170-17699,140-23999,001-99999,,,DISEASES AND INJURIES
2039,203,20,18-2099,00-9999,,,PROCEDURES
37871,3787,378,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
V606,V60,V60-V6999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2705,270,270-27999,240-27999,001-99999,,,DISEASES AND INJURIES
9095,909,90,87-9999,00-9999,,,PROCEDURES
71659,7165,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
E8000,E800,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
73639,7363,736,730-73999,710-73999,001-99999,,DISEASES AND INJURIES
9622,962,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
E8002,E800,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
V719,V71,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
9050,905,905-90999,800-99999,001-99999,,,DISEASES AND INJURIES
80631,8063,806,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
E9508,E950,E950-E9599,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
5760,576,570-57999,520-57999,001-99999,,,DISEASES AND INJURIES
1884,188,179-18999,140-23999,001-99999,,,DISEASES AND INJURIES
00802,0080,008,001-00999,001-13999,001-99999,,DISEASES AND INJURIES
92233,9223,922,920-92499,800-99999,001-99999,,DISEASES AND INJURIES
00800,0080,008,001-00999,001-13999,001-99999,,DISEASES AND INJURIES
9735,973,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
31210,3121,312,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
38603,3860,386,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
V065,V06,V01-V0699,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2164,216,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
83112,8311,831,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
83114,8311,831,830-83999,800-99999,001-99999,,DISEASES AND INJURIES
E8062,E806,E800-E8079,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
4292,429,420-42999,390-45999,001-99999,,,DISEASES AND INJURIES
71813,7181,718,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
V2387,V238,V23,V20-V2999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V2385,V238,V23,V20-V2999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
E8408,E840,E840-E8459,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
E8406,E840,E840-E8459,E800-E8489,E000-E9999,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
9082,908,90,87-9999,00-9999,,,PROCEDURES
016,01,01-0599,00-9999,,,,PROCEDURES
80451,8045,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
9628,962,96,87-9999,00-9999,,,PROCEDURES
80453,8045,804,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
V5831,V583,V58,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V9081,V908,V90,V90-V9099,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1887,188,179-18999,140-23999,001-99999,,,DISEASES AND INJURIES
7870,787,78,76-8499,00-9999,,,PROCEDURES
64400,6440,644,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
3551,355,35,35-3999,00-9999,,,PROCEDURES
64612,6461,646,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
9512,951,950-95799,800-99999,001-99999,,,DISEASES AND INJURIES
2096,209,20,18-2099,00-9999,,,PROCEDURES
E9343,E934,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
71595,7159,715,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
60821,6082,608,600-60899,580-62999,001-99999,,DISEASES AND INJURIES
E9345,E934,E930-E9499,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
01301,0130,013,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
94525,9452,945,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
67510,6751,675,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
38915,3891,389,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
71689,7168,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
6224,622,617-62999,580-62999,001-99999,,,DISEASES AND INJURIES
42842,4284,428,420-42999,390-45999,001-99999,,DISEASES AND INJURIES
340,340-34999,320-38999,001-99999,,,,DISEASES AND INJURIES
3320,332,33,30-3499,00-9999,,,PROCEDURES
7580,758,740-75999,001-99999,,,,DISEASES AND INJURIES
3508,350,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
52464,5246,524,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
80032,8003,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
7562,756,740-75999,001-99999,,,,DISEASES AND INJURIES
6029,602,600-60899,580-62999,001-99999,,,DISEASES AND INJURIES
587,580-58999,580-62999,001-99999,,,,DISEASES AND INJURIES
27650,2765,276,270-27999,240-27999,001-99999,,DISEASES AND INJURIES
70713,7071,707,700-70999,680-70999,001-99999,,DISEASES AND INJURIES
4846,484,480-48899,460-51999,001-99999,,,DISEASES AND INJURIES
6255,625,617-62999,580-62999,001-99999,,,DISEASES AND INJURIES
30420,3042,304,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
37815,3781,378,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
34211,3421,342,340-34999,320-38999,001-99999,,DISEASES AND INJURIES
2629,262,26,21-2999,00-9999,,,PROCEDURES
4959,495,490-49699,460-51999,001-99999,,,DISEASES AND INJURIES
3839,383,38,35-3999,00-9999,,,PROCEDURES
41081,4108,410,410-41499,390-45999,001-99999,,DISEASES AND INJURIES
01331,0133,013,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
1579,157,150-15999,140-23999,001-99999,,,DISEASES AND INJURIES
99761,9976,997,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
8701,870,87,87-9999,00-9999,,,PROCEDURES
5300,530,53,42-5499,00-9999,,,PROCEDURES
64922,6492,649,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
66904,6690,669,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
66902,6690,669,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
63300,6330,633,630-63399,630-67999,001-99999,,DISEASES AND INJURIES
64924,6492,649,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
11281,1128,112,110-11899,001-13999,001-99999,,DISEASES AND INJURIES
8965,896,89,87-9999,00-9999,,,PROCEDURES
V7644,V764,V76,V70-V8299,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2513,251,249-25999,240-27999,001-99999,,,DISEASES AND INJURIES
1741,174,170-17699,140-23999,001-99999,,,DISEASES AND INJURIES
3554,355,35,35-3999,00-9999,,,PROCEDURES
8520,852,85,85-8699,00-9999,,,PROCEDURES
8536,853,85,85-8699,00-9999,,,PROCEDURES
5135,513,51,42-5499,00-9999,,,PROCEDURES
37272,3727,372,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
07053,0705,070,070-07999,001-13999,001-99999,,DISEASES AND INJURIES
0153,015,01,01-0599,00-9999,,,PROCEDURES
07051,0705,070,070-07999,001-13999,001-99999,,DISEASES AND INJURIES
7272,727,725-72999,710-73999,001-99999,,,DISEASES AND INJURIES
1441,144,14,08-1699,00-9999,,,PROCEDURES
36503,3650,365,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
78064,7806,780,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
94136,9413,941,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
52406,5240,524,520-52999,520-57999,001-99999,,DISEASES AND INJURIES
7758,775,77,76-8499,00-9999,,,PROCEDURES
6145,614,614-61699,580-62999,001-99999,,,DISEASES AND INJURIES
6191,619,61,60-6499,00-9999,,,PROCEDURES
1448,144,140-14999,140-23999,001-99999,,,DISEASES AND INJURIES
8240,824,820-82999,800-82999,800-99999,001-99999,,DISEASES AND INJURIES
45184,4518,451,451-45999,390-45999,001-99999,,DISEASES AND INJURIES
4261,426,42,42-5499,00-9999,,,PROCEDURES
196,19,18-2099,00-9999,,,,PROCEDURES
7662,766,76,76-8499,00-9999,,,PROCEDURES
64651,6465,646,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
94870,9487,948,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
78607,7860,786,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
4611,461,460-46699,460-51999,001-99999,,,DISEASES AND INJURIES
1210,121,120-12999,001-13999,001-99999,,,DISEASES AND INJURIES
78609,7860,786,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
71214,7121,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
11591,1159,115,110-11899,001-13999,001-99999,,DISEASES AND INJURIES
11593,1159,115,110-11899,001-13999,001-99999,,DISEASES AND INJURIES
V2541,V254,V25,V20-V2999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V4559,V455,V45,V40-V4999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8322,832,830-83999,800-99999,001-99999,,,DISEASES AND INJURIES
66881,6688,668,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
48809,4880,488,480-48899,460-51999,001-99999,,DISEASES AND INJURIES
1631,163,160-16599,140-23999,001-99999,,,DISEASES AND INJURIES
66883,6688,668,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
8075,807,805-80999,800-82999,800-99999,001-99999,,DISEASES AND INJURIES
35981,3598,359,350-35999,320-38999,001-99999,,DISEASES AND INJURIES
1521,152,15,08-1699,00-9999,,,PROCEDURES
4922,492,49,42-5499,00-9999,,,PROCEDURES
67403,6740,674,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
2318,231,230-23499,140-23999,001-99999,,,DISEASES AND INJURIES
30001,3000,300,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
5260,526,520-52999,520-57999,001-99999,,,DISEASES AND INJURIES
0471,047,045-04999,001-13999,001-99999,,,DISEASES AND INJURIES
3872,387,380-38999,320-38999,001-99999,,,DISEASES AND INJURIES
7829,782,780-78999,780-79999,001-99999,,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
37214,3721,372,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
01224,0122,012,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
V1323,V132,V13,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
36482,3648,364,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
40291,4029,402,401-40599,390-45999,001-99999,,DISEASES AND INJURIES
V1020,V102,V10,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V595,V59,V50-V5999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
2791,279,27,21-2999,00-9999,,,PROCEDURES
V1022,V102,V10,V10-V1999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
1100,110,110-11899,001-13999,001-99999,,,DISEASES AND INJURIES
0861,086,08,08-1699,00-9999,,,PROCEDURES
59081,5908,590,590-59999,580-62999,001-99999,,DISEASES AND INJURIES
30189,3018,301,300-31699,290-31999,001-99999,,DISEASES AND INJURIES
65571,6557,655,650-65999,630-67999,001-99999,,DISEASES AND INJURIES
7080,708,700-70999,680-70999,001-99999,,,DISEASES AND INJURIES
80064,8006,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
3979,397,39,35-3999,00-9999,,,PROCEDURES
29281,2928,292,290-29499,290-29999,290-31999,001-99999,DISEASES AND INJURIES
1323,132,130-13699,001-13999,001-99999,,,DISEASES AND INJURIES
90227,9022,902,900-90499,800-99999,001-99999,,DISEASES AND INJURIES
90229,9022,902,900-90499,800-99999,001-99999,,DISEASES AND INJURIES
80062,8006,800,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
3899,389,38,35-3999,00-9999,,,PROCEDURES
0759,075,07,06-0799,00-9999,,,PROCEDURES
7391,739,730-73999,710-73999,001-99999,,,DISEASES AND INJURIES
7716,771,764-77999,760-77999,001-99999,,,DISEASES AND INJURIES
64323,6432,643,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
66303,6630,663,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
3543,354,350-35999,320-38999,001-99999,,,DISEASES AND INJURIES
71852,7185,718,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
9125,912,910-91999,800-99999,001-99999,,,DISEASES AND INJURIES
99581,9958,995,990-99599,800-99999,001-99999,,DISEASES AND INJURIES
3339,333,33,30-3499,00-9999,,,PROCEDURES
55202,5520,552,550-55399,520-57999,001-99999,,DISEASES AND INJURIES
87401,8740,874,870-87999,870-89799,800-99999,001-99999,DISEASES AND INJURIES
V8821,V882,V88,V88-V8899,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
7062,706,700-70999,680-70999,001-99999,,,DISEASES AND INJURIES
9411,941,94,87-9999,00-9999,,,PROCEDURES
45340,4534,453,451-45999,390-45999,001-99999,,DISEASES AND INJURIES
7083,708,700-70999,680-70999,001-99999,,,DISEASES AND INJURIES
6995,699,69,65-7199,00-9999,,,PROCEDURES
E8601,E860,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
9701,970,960-97999,800-99999,001-99999,,,DISEASES AND INJURIES
V5426,V542,V54,V50-V5999,V01-V9199,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
80374,8037,803,800-80499,800-82999,800-99999,001-99999,DISEASES AND INJURIES
2126,212,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
0781,078,07,06-0799,00-9999,,,PROCEDURES
E8723,E872,E870-E8769,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
95914,9591,959,958-95999,800-99999,001-99999,,DISEASES AND INJURIES
0234,023,02,01-0599,00-9999,,,PROCEDURES
92310,9231,923,920-92499,800-99999,001-99999,,DISEASES AND INJURIES
78096,7809,780,780-78999,780-79999,001-99999,,"SYMPTOMS, SIGNS, AND ILL-DEFINED CONDITIONS"
8465,846,84,76-8499,00-9999,,,PROCEDURES
3433,343,340-34999,320-38999,001-99999,,,DISEASES AND INJURIES
67014,6701,670,670-67799,630-67999,001-99999,,DISEASES AND INJURIES
V562,V56,V50-V5999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
V760,V76,V70-V8299,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
8583,858,85,85-8699,00-9999,,,PROCEDURES
36063,3606,360,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
5182,518,51,42-5499,00-9999,,,PROCEDURES
80710,8071,807,805-80999,800-82999,800-99999,001-99999,DISEASES AND INJURIES
8036,803,80,76-8499,00-9999,,,PROCEDURES
42651,4265,426,420-42999,390-45999,001-99999,,DISEASES AND INJURIES
74683,7468,746,740-75999,001-99999,,,DISEASES AND INJURIES
5113,511,51,42-5499,00-9999,,,PROCEDURES
37992,3799,379,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
36370,3637,363,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
1764,176,170-17699,140-23999,001-99999,,,DISEASES AND INJURIES
71530,7153,715,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
75321,7532,753,740-75999,001-99999,,,DISEASES AND INJURIES
V239,V23,V20-V2999,V01-V9199,,,,SUPPLEMENTARY CLASSIFICATION OF FACTORS INFLUENCING HEALTH STATUS AND CONTACT WITH HEALTH SERVICES
04502,0450,045,045-04999,001-13999,001-99999,,DISEASES AND INJURIES
1915,191,190-19999,140-23999,001-99999,,,DISEASES AND INJURIES
71624,7162,716,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
4252,425,42,42-5499,00-9999,,,PROCEDURES
38512,3851,385,380-38999,320-38999,001-99999,,DISEASES AND INJURIES
2061,206,20,18-2099,00-9999,,,PROCEDURES
5462,546,54,42-5499,00-9999,,,PROCEDURES
94336,9433,943,940-94999,800-99999,001-99999,,DISEASES AND INJURIES
01110,0111,011,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
71288,7128,712,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
99749,9974,997,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
01112,0111,011,010-01899,001-13999,001-99999,,DISEASES AND INJURIES
96902,9690,969,960-97999,800-99999,001-99999,,DISEASES AND INJURIES
05322,0532,053,050-05999,001-13999,001-99999,,DISEASES AND INJURIES
1599,159,150-15999,140-23999,001-99999,,,DISEASES AND INJURIES
99961,9996,999,996-99999,800-99999,001-99999,,DISEASES AND INJURIES
66140,6614,661,660-66999,630-67999,001-99999,,DISEASES AND INJURIES
5179,517,51,42-5499,00-9999,,,PROCEDURES
67813,6781,678,678-67999,630-67999,001-99999,,DISEASES AND INJURIES
64211,6421,642,640-64999,630-67999,001-99999,,DISEASES AND INJURIES
E8668,E866,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
3169,316,31,30-3499,00-9999,,,PROCEDURES
71740,7174,717,710-71999,710-73999,001-99999,,DISEASES AND INJURIES
2100,210,210-22999,140-23999,001-99999,,,DISEASES AND INJURIES
36862,3686,368,360-37999,320-38999,001-99999,,DISEASES AND INJURIES
8135,813,81,76-8499,00-9999,,,PROCEDURES
E8666,E866,E860-E8699,E000-E9999,,,,SUPPLEMENTARY CLASSIFICATION OF EXTERNAL CAUSES OF INJURY AND POISONING
2722,272,27,21-2999,00-9999,,,PROCEDURES
85155,8515,851,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
85153,8515,851,850-85499,800-99999,001-99999,,DISEASES AND INJURIES
27730,2773,277,270-27999,240-27999,001-99999,,DISEASES AND INJURIES
