0,1,2,3,4,5,6
V13.02,V13.0,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V21.31,V21.3,V21,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V53.99,V53.9,V53,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.69,V10.6,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V77.7,V77,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V04.4,V04,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.9,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.20,V61.2,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V53.7,V53,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.9,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.69,V12.6,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V11.9,V11,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.41,V15.4,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V53.32,V53.3,V53,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V48.0,V48,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.3,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.04,V10.0,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V04.1,V04,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V46.2,V46,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.6,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V35.2,V35,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V17.5,V17,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.39,V87.3,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V30.01,V30.0,V30,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.11,V72.1,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V09.80,V09.8,V09,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99
V73.99,V73.9,V73,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.7,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V67.2,V67,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.90,V10.9,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V80.01,V80.0,V80,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V36.00,V36.0,V36,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99
V01.84,V01.8,V01,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V18.59,V18.5,V18,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V65.44,V65.4,V65,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V27.4,V27,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V86.0,V86,V86-V86.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.05,V15.0,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V69.5,V69,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V21.0,V21,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.12,V54.1,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V55.2,V55,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.25,V61.2,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.1,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V81.6,V81,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V07.9,V07,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V68.01,V68.0,V68,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.85,V72.8,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V70.6,V70,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V05.2,V05,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.89,V58.8,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V69.2,V69,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V26.21,V26.2,V26,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.01,V59.0,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V64.00,V64.0,V64,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V44.52,V44.5,V44,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V53.02,V53.0,V53,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V14.7,V14,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.74,V49.7,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V17.2,V17,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V16.42,V16.4,V16,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.1,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.09,V87.0,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V09.0,V09,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.3,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.11,V10.1,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V41.8,V41,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.43,V10.4,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.23,V54.2,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.21,V54.2,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V57.89,V57.8,V57,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.41,V23.4,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.87,V10.8,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V89.09,V89.0,V89,V89-V89.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.41,V12.4,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V79.8,V79,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V20.0,V20,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.53,V15.5,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V66.7,V66,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.66,V58.6,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.48,V10.4,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V16.7,V16,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V08,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V18.8,V18,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V01.1,V01,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.03,V15.0,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V70.0,V70,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V24.1,V24,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V53.91,V53.9,V53,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V81.3,V81,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V62.1,V62,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V70.3,V70,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V16.2,V16,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V73.4,V73,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.09,V10.0,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.07,V10.0,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V84.02,V84.0,V84,V83-V84.99,V01-V91.99,V01-V91.99,V01-V91.99
V42.6,V42,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V09.51,V09.5,V09,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99
V44.9,V44,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.8,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.69,V72.6,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.49,V15.4,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V40.31,V40.3,V40,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.88,V15.8,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.81,V49.8,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.83,V49.8,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.09,V59.0,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V64.1,V64,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V75.4,V75,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V41.5,V41,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V26.35,V26.3,V26,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V44.6,V44,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V75.7,V75,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V88.12,V88.1,V88,V88-V88.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.82,V43.8,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.17,V54.1,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.04,V61.0,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.02,V61.0,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V72.32,V72.3,V72,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V79.2,V79,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V60.81,V60.8,V60,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V68.2,V68,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V66.4,V66,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V15.21,V15.2,V15,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V45.82,V45.8,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V48.7,V48,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.1,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.49,V76.4,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.1,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V37.00,V37.0,V37,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.86,V49.8,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V46.9,V46,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V29.8,V29,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.71,V59.7,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V68.89,V68.8,V68,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V01.81,V01.8,V01,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V82.6,V82,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V46.11,V46.1,V46,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.12,V87.1,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V45.85,V45.8,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.12,V76.1,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.44,V87.4,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V06.2,V06,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.22,V43.2,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.32,V85.3,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.55,V12.5,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V62.81,V62.8,V62,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.0,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.00,V13.0,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V71.3,V71,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V60.0,V60,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V90.10,V90.1,V90,V90-V90.99,V01-V91.99,V01-V91.99,V01-V91.99
V45.76,V45.7,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V64.08,V64.0,V64,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V61.07,V61.0,V61,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V51.8,V51,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V04.82,V04.8,V04,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V05.9,V05,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.23,V85.2,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V82.9,V82,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.42,V87.4,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V86.1,V86,V86-V86.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V69.0,V69,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V75.1,V75,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V77.2,V77,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V57.4,V57,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V44.3,V44,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V54.82,V54.8,V54,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V27.2,V27,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.5,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.72,V12.7,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V12.70,V12.7,V12,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V16.52,V16.5,V16,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V59.4,V59,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V46.14,V46.1,V46,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.62,V58.6,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.12,V10.1,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V09.71,V09.7,V09,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99
V48.4,V48,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V87.49,V87.4,V87,V87-V87.99,V01-V91.99,V01-V91.99,V01-V91.99
V17.6,V17,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.54,V02.5,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.52,V02.5,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.47,V76.4,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V29.2,V29,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V80.3,V80,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.81,V10.8,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V89.03,V89.0,V89,V89-V89.99,V01-V91.99,V01-V91.99,V01-V91.99
V89.01,V89.0,V89,V89-V89.99,V01-V91.99,V01-V91.99,V01-V91.99
V26.49,V26.4,V26,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V83.02,V83.0,V83,V83-V84.99,V01-V91.99,V01-V91.99,V01-V91.99
V45.11,V45.1,V45,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V39.01,V39.0,V39,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99
V63.1,V63,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V74.4,V74,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V57.9,V57,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V42.84,V42.8,V42,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V42.82,V42.8,V42,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V01.5,V01,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V35.00,V35.0,V35,V30-V39.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.41,V85.4,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.60,V49.6,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V82.0,V82,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V82.3,V82,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V23.81,V23.8,V23,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.61,V43.6,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V50.42,V50.4,V50,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V74.1,V74,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V19.0,V19,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V68.9,V68,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.71,V58.7,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V06.9,V06,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V67.59,V67.5,V67,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V71.02,V71.0,V71,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V78.2,V78,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V47.4,V47,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.60,V10.6,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V49.65,V49.6,V49,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.44,V85.4,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V28.2,V28,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.66,V43.6,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.64,V43.6,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99
V88.03,V88.0,V88,V88-V88.99,V01-V91.99,V01-V91.99,V01-V91.99
V28.5,V28,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V21.34,V21.3,V21,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99
V22.1,V22,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V91.10,V91.1,V91,V91-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.21,V10.2,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.37,V85.3,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V85.35,V85.3,V85,V85-V85.99,V01-V91.99,V01-V91.99,V01-V91.99
V41.0,V41,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V09.4,V09,V07-V09.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.51,V10.5,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V10.89,V10.8,V10,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.63,V13.6,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V13.61,V13.6,V13,V10-V19.99,V01-V91.99,V01-V91.99,V01-V91.99
V62.84,V62.8,V62,V60-V69.99,V01-V91.99,V01-V91.99,V01-V91.99
V52.3,V52,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V91.01,V91.0,V91,V91-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V27.9,V27,V20-V29.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V02.61,V02.6,V02,V01-V06.99,V01-V91.99,V01-V91.99,V01-V91.99
V41.3,V41,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.32,V58.3,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.30,V58.3,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
V76.43,V76.4,V76,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V77.91,V77.9,V77,V70-V82.99,V01-V91.99,V01-V91.99,V01-V91.99
V43.3,V43,V40-V49.99,V01-V91.99,V01-V91.99,V01-V91.99,V01-V91.99
V58.76,V58.7,V58,V50-V59.99,V01-V91.99,V01-V91.99,V01-V91.99
